epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,552.735,0.63378,0.47042,1.07212,0.99957,1,0.995,0.97222,0.31248,0.2524,0.82604,0.00093575,0.00093575,0.00093575
45,563.844,0.60817,0.45199,1.05457,0.99961,1,0.995,0.98484,0.31765,0.24176,0.82676,0.000911,0.000911,0.000911
46,575.533,0.60308,0.44719,1.05769,0.99958,1,0.995,0.97095,0.31392,0.26153,0.86028,0.00088625,0.00088625,0.00088625
47,587.968,0.608,0.43597,1.0574,0.99958,1,0.995,0.98724,0.26616,0.24757,0.82126,0.0008615,0.0008615,0.0008615
48,599.597,0.60845,0.45123,1.05541,0.99959,1,0.995,0.92952,0.34562,0.26402,0.8472,0.00083675,0.00083675,0.00083675
49,611.336,0.63898,0.46488,1.07944,0.9996,1,0.995,0.97137,0.28641,0.21274,0.83516,0.000812,0.000812,0.000812
50,623.084,0.58837,0.438,1.04986,0.9996,1,0.995,0.94027,0.32479,0.26105,0.8381,0.00078725,0.00078725,0.00078725
51,636.798,0.59861,0.41794,1.05977,0.99959,1,0.995,0.90648,0.46866,0.31375,0.90028,0.0007625,0.0007625,0.0007625
52,649.272,0.61445,0.44212,1.06042,0.99959,1,0.995,0.91322,0.38686,0.31558,0.84615,0.00073775,0.00073775,0.00073775
53,660.613,0.59679,0.43502,1.05517,0.9996,1,0.995,0.98861,0.28941,0.23887,0.82397,0.000713,0.000713,0.000713
54,672.156,0.55679,0.40896,1.03256,0.99961,1,0.995,0.99115,0.24271,0.2366,0.81647,0.00068825,0.00068825,0.00068825
55,684.177,0.53623,0.39675,1.02105,0.99962,1,0.995,0.9675,0.3509,0.24612,0.86786,0.0006635,0.0006635,0.0006635
56,695.608,0.55807,0.40826,1.02658,0.99959,1,0.995,0.98222,0.2865,0.22066,0.82101,0.00063875,0.00063875,0.00063875
57,707.485,0.57893,0.42963,1.04979,0.9996,1,0.995,0.97861,0.32761,0.27444,0.84569,0.000614,0.000614,0.000614
58,720.056,0.60232,0.41877,1.06161,0.9996,1,0.995,0.94482,0.29471,0.26687,0.82778,0.00058925,0.00058925,0.00058925
59,733.061,0.62966,0.43422,1.0813,0.99961,1,0.995,0.96776,0.2976,0.23407,0.81744,0.0005645,0.0005645,0.0005645
60,745.2,0.53835,0.40405,1.02614,0.99961,1,0.995,0.97449,0.30744,0.21863,0.8172,0.00053975,0.00053975,0.00053975
61,757.784,0.50109,0.38335,0.99801,0.99961,1,0.995,0.99436,0.22767,0.23076,0.80561,0.000515,0.000515,0.000515
62,770.049,0.54439,0.39346,1.02832,0.99961,1,0.995,0.99185,0.22584,0.20126,0.80597,0.00049025,0.00049025,0.00049025
63,782.494,0.53022,0.39711,1.03062,0.99961,1,0.995,0.99307,0.19013,0.17944,0.79391,0.0004655,0.0004655,0.0004655
64,795.25,0.51209,0.36718,1.00891,0.99961,1,0.995,0.99423,0.19939,0.1963,0.79762,0.00044075,0.00044075,0.00044075
65,807.764,0.54104,0.39631,1.03096,0.99959,1,0.995,0.99112,0.24549,0.19258,0.80374,0.000416,0.000416,0.000416
66,820.512,0.52257,0.39065,1.01149,0.9996,1,0.995,0.99456,0.2327,0.20561,0.79764,0.00039125,0.00039125,0.00039125
67,832.957,0.48298,0.37075,1.00185,0.99962,1,0.995,0.99028,0.22349,0.22272,0.79656,0.0003665,0.0003665,0.0003665
68,845.619,0.49185,0.3769,1.00533,0.99961,1,0.995,0.98548,0.26944,0.20259,0.81108,0.00034175,0.00034175,0.00034175
69,858.317,0.48067,0.37257,1.00132,0.99961,1,0.995,0.98193,0.26627,0.21636,0.82104,0.000317,0.000317,0.000317
70,871.148,0.47177,0.36969,0.99934,0.99961,1,0.995,0.99499,0.19096,0.17196,0.78795,0.00029225,0.00029225,0.00029225
71,926.739,0.73211,0.67087,1.33433,0.99963,1,0.995,0.98554,0.30179,0.23833,0.84119,0.0002675,0.0002675,0.0002675
72,939.097,0.63093,0.44132,1.2054,0.99962,1,0.995,0.995,0.19847,0.20699,0.79116,0.00024275,0.00024275,0.00024275
73,951.161,0.6425,0.40094,1.22519,0.99961,1,0.995,0.99359,0.23714,0.19705,0.80426,0.000218,0.000218,0.000218
74,962.59,0.66981,0.37732,1.25923,0.99961,1,0.995,0.995,0.18461,0.17642,0.79025,0.00019325,0.00019325,0.00019325
75,975.042,0.66388,0.37147,1.25437,0.9996,1,0.995,0.99218,0.20733,0.1968,0.79905,0.0001685,0.0001685,0.0001685
76,987.85,0.57515,0.3341,1.15918,0.99961,1,0.995,0.98407,0.22054,0.20015,0.79761,0.00014375,0.00014375,0.00014375
77,1000.76,0.62284,0.34479,1.21808,0.99961,1,0.995,0.98627,0.20401,0.17163,0.79589,0.000119,0.000119,0.000119
78,1013.19,0.62035,0.34286,1.2096,0.99961,1,0.995,0.995,0.1774,0.15568,0.78877,9.425e-05,9.425e-05,9.425e-05
79,1024.54,0.61298,0.34404,1.21001,0.99961,1,0.995,0.99301,0.23659,0.16485,0.80256,6.95e-05,6.95e-05,6.95e-05
80,1036.19,0.58837,0.33854,1.18018,0.99961,1,0.995,0.995,0.20318,0.16809,0.79592,4.475e-05,4.475e-05,4.475e-05
